t	x
3.3912	-1.05905e+06
3.40278	-1.06069e+06
3.41435	-1.06223e+06
3.42593	-1.06367e+06
3.4375	-1.06499e+06
3.44907	-1.0662e+06
3.46065	-1.0673e+06
3.47222	-1.06829e+06
3.4838	-1.06918e+06
3.49537	-1.06995e+06
3.50694	-1.07061e+06
3.51852	-1.07117e+06
3.53009	-1.07161e+06
3.54167	-1.07194e+06
3.55324	-1.07217e+06
3.56481	-1.07228e+06
3.57639	-1.07228e+06
3.58796	-1.07217e+06
3.59954	-1.07196e+06
3.61111	-1.07163e+06
3.62269	-1.07119e+06
3.63426	-1.07064e+06
3.64583	-1.06998e+06
3.65741	-1.06922e+06
3.66898	-1.06834e+06
3.68056	-1.06735e+06
3.69213	-1.06625e+06
3.7037	-1.06505e+06
3.71528	-1.06373e+06
3.72685	-1.06231e+06
3.73843	-1.06077e+06
3.75	-1.05913e+06
3.76157	-1.05737e+06
3.77315	-1.05551e+06
3.78472	-1.05354e+06
3.7963	-1.05147e+06
3.80787	-1.04928e+06
3.81944	-1.04699e+06
3.83102	-1.04459e+06
3.84259	-1.04208e+06
3.85417	-1.03946e+06
3.86574	-1.03674e+06
3.87731	-1.03391e+06
3.88889	-1.03097e+06
3.90046	-1.02793e+06
3.91204	-1.02479e+06
3.92361	-1.02153e+06
3.93519	-1.01818e+06
3.94676	-1.01472e+06
3.95833	-1.01115e+06
3.96991	-1.00748e+06
3.98148	-1.00371e+06
3.99306	-999830
4.00463	-995851
4.0162	-991769
4.02778	-987586
4.03935	-983301
4.05093	-978915
4.0625	-974428
4.07407	-969841
4.08565	-965155
4.09722	-960369
4.1088	-955485
4.12037	-950502
4.13194	-945422
4.14352	-940244
4.15509	-934970
4.16667	-929600
4.17824	-924135
4.18981	-918574
4.20139	-912919
4.21296	-907170
4.22454	-901328
4.23611	-895393
4.24769	-889366
4.25926	-883248
4.27083	-877039
4.28241	-870739
4.29398	-864351
4.30556	-857873
4.31713	-851307
4.3287	-844654
4.34028	-837914
4.35185	-831088
4.36343	-824176
4.375	-817180
4.38657	-810099
4.39815	-802935
4.40972	-795689
4.4213	-788361
4.43287	-780952
4.44444	-773462
4.45602	-765893
4.46759	-758246
4.47917	-750520
4.49074	-742717
4.50231	-734838
4.51389	-726883
4.52546	-718854
4.53704	-710750
4.54861	-702574
4.56019	-694325
4.57176	-686005
4.58333	-677614
4.59491	-669153
4.60648	-660624
4.61806	-652027
4.62963	-643363
4.6412	-634632
4.65278	-625836
4.66435	-616976
4.67593	-608053
4.6875	-599067
4.69907	-590019
4.71065	-580911
4.72222	-571742
4.7338	-562515
4.74537	-553231
4.75694	-543889
4.76852	-534491
4.78009	-525038
4.79167	-515532
4.80324	-505972
4.81481	-496360
4.82639	-486697
4.83796	-476984
4.84954	-467222
4.86111	-457412
4.87269	-447555
4.88426	-437651
4.89583	-427703
4.90741	-417711
4.91898	-407676
4.93056	-397598
4.94213	-387480
4.9537	-377322
4.96528	-367125
4.97685	-356891
4.98843	-346619
5	-336312
5.01157	-325970
5.02315	-315595
5.03472	-305187
5.0463	-294748
5.05787	-284279
5.06944	-273780
5.08102	-263253
5.09259	-252699
5.10417	-242119
5.11574	-231514
5.12731	-220885
5.13889	-210234
5.15046	-199560
5.16204	-188867
5.17361	-178153
5.18519	-167422
5.19676	-156673
5.20833	-145908
5.21991	-135128
5.23148	-124334
5.24306	-113528
5.25463	-102709
5.2662	-91880.3
5.27778	-81041.9
5.28935	-70195.2
5.30093	-59341.2
5.3125	-48481.1
5.32407	-37616
5.33565	-26747
5.34722	-15875.3
5.3588	-5001.94
5.37037	5871.93
5.38194	16745.2
5.39352	27616.7
5.40509	38485.4
5.41667	49350.2
5.42824	60209.8
5.43981	71063.2
5.45139	81909.4
5.46296	92747
5.47454	103575
5.48611	114393
5.49769	125198
5.50926	135991
5.52083	146770
5.53241	157533
5.54398	168281
5.55556	179011
5.56713	189722
5.5787	200414
5.59028	211086
5.60185	221735
5.61343	232362
5.625	242965
5.63657	253543
5.64815	264095
5.65972	274619
5.6713	285115
5.68287	295582
5.69444	306018
5.70602	316423
5.71759	326795
5.72917	337133
5.74074	347437
5.75231	357705
5.76389	367935
5.77546	378128
5.78704	388282
5.79861	398396
5.81019	408469
5.82176	418500
5.83333	428488
5.84491	438431
5.85648	448329
5.86806	458181
5.87963	467986
5.8912	477742
5.90278	487449
5.91435	497106
5.92593	506712
5.9375	516265
5.94907	525765
5.96065	535211
5.97222	544602
5.9838	553936
5.99537	563214
6.00694	572433
6.01852	581593
6.03009	590693
6.04167	599732
6.05324	608710
6.06481	617624
6.07639	626475
6.08796	635261
6.09954	643982
6.11111	652636
6.12269	661223
6.13426	669742
6.14583	678191
6.15741	686571
6.16898	694879
6.18056	703116
6.19213	711281
6.2037	719372
6.21528	727388
6.22685	735330
6.23843	743196
6.25	750985
6.26157	758697
6.27315	766330
6.28472	773884
6.2963	781359
6.30787	788752
6.31944	796065
6.33102	803295
6.34259	810442
6.35417	817505
6.36574	824484
6.37731	831378
6.38889	838187
6.40046	844908
6.41204	851543
6.42361	858089
6.43519	864547
6.44676	870916
6.45833	877195
6.46991	883383
6.48148	889480
6.49306	895485
6.50463	901398
6.5162	907218
6.52778	912944
6.53935	918575
6.55093	924112
6.5625	929554
6.57407	934899
6.58565	940148
6.59722	945300
6.6088	950354
6.62037	955311
6.63194	960168
6.64352	964926
6.65509	969585
6.66667	974144
6.67824	978602
6.68981	982959
6.70139	987214
6.71296	991368
6.72454	995419
6.73611	999367
6.74769	1.00321e+06
6.75926	1.00695e+06
6.77083	1.01059e+06
6.78241	1.01412e+06
6.79398	1.01755e+06
6.80556	1.02088e+06
6.81713	1.02409e+06
